keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,Tier,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier2,,,Roster Position
,93784-60947:Jarrett Stidham,93784-60947,QB,Jarrett,Jarrett Stidham,Stidham,,15.21333313,3,6100,WAS@DEN,DEN,WAS,,,,,,QB
,93784-63043:DJ Moore,93784-63043,WR,DJ,DJ Moore,Moore,,3.5,1,6100,CHI@TB,CHI,TB,,,,,,WR/FLEX
,93784-44715:Cooper Rush,93784-44715,QB,Cooper,Cooper Rush,Rush,,0,1,6100,NYJ@DAL,DAL,NYJ,,,,,,QB
,93784-69304:Kyle Trask,93784-69304,QB,Kyle,Kyle Trask,Trask,,0.920000017,1,6100,CHI@TB,TB,CHI,,,,,,QB
,93784-7872:Brian Hoyer,93784-7872,QB,Brian,Brian Hoyer,Hoyer,,1.480000019,1,6100,LV@BUF,LV,BUF,,,,,,QB
,93784-28434:Trevor Siemian,93784-28434,QB,Trevor,Trevor Siemian,Siemian,,5.579999924,2,6100,BAL@CIN,CIN,BAL,,,,,,QB
,93784-8023:Josh Johnson,93784-8023,QB,Josh,Josh Johnson,Johnson,,0.930000007,2,6100,BAL@CIN,BAL,CIN,,,,,,QB
,93784-71521:Justice Hill,93784-71521,RB,Justice,Justice Hill,Hill,,12.89999962,1,6100,BAL@CIN,BAL,CIN,,,,,,RB/FLEX
,93784-53095:Kyle Allen,93784-53095,QB,Kyle,Kyle Allen,Allen,,9.970000267,2,6100,LV@BUF,BUF,LV,,,,,,QB
,93784-14194:Blaine Gabbert,93784-14194,QB,Blaine,Blaine Gabbert,Gabbert,,5.159999847,1,6100,KC@JAC,KC,JAC,,,,,,QB
,93784-85983:Hendon Hooker,93784-85983,QB,Hendon,Hendon Hooker,Hooker,,,,6100,SEA@DET,DET,SEA,IR,Knee - acl,,,,QB
,93784-86055:Dameon Pierce,93784-86055,RB,Dameon,Dameon Pierce,Pierce,,5.699999809,1,6000,IND@HOU,HOU,IND,,,,,,RB/FLEX
,93784-53303:Matt Breida,93784-53303,RB,Matt,Matt Breida,Breida,,1.100000024,1,6000,NYG@ARI,NYG,ARI,,,,,,RB/FLEX
,93784-149696:Trey Lance,93784-149696,QB,Trey,Trey Lance,Lance,,6.730000019,2,6000,NYJ@DAL,DAL,NYJ,,,,,,QB
,93784-69833:Shane Buechele,93784-69833,QB,Shane,Shane Buechele,Buechele,,,,6000,LV@BUF,BUF,LV,,,,,,QB
,93784-45259:Logan Woodside,93784-45259,QB,Logan,Logan Woodside,Woodside,,,,6000,GB@ATL,ATL,GB,,,,,,QB
,93784-88440:Braxton Burmeister,93784-88440,QB,Braxton,Braxton Burmeister,Burmeister,,,,6000,SF@LAR,LAR,SF,,,,,,QB
,93784-92560:Sam Ehlinger,93784-92560,QB,Sam,Sam Ehlinger,Ehlinger,,9.654999733,4,6000,IND@HOU,IND,HOU,,,,,,QB
,93784-70051:Tyler Huntley,93784-70051,QB,Tyler,Tyler Huntley,Huntley,,12.07666651,6,6000,BAL@CIN,BAL,CIN,,,,,,QB
,93784-31170:Brandon Allen,93784-31170,QB,Brandon,Brandon Allen,Allen,,0.779999971,1,6000,SF@LAR,SF,LAR,,,,,,QB
,93784-22994:Case Keenum,93784-22994,QB,Case,Case Keenum,Keenum,,0.159999996,2,6000,IND@HOU,HOU,IND,,,,,,QB
,93784-33259:Teddy Bridgewater,93784-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,,8.404000092,5,6000,SEA@DET,DET,SEA,,,,,,QB
,93784-94718:Nathan Rourke,93784-94718,QB,Nathan,Nathan Rourke,Rourke,,,,6000,KC@JAC,JAC,KC,,,,,,QB
,93784-94748:Tommy DeVito,93784-94748,QB,Tommy,Tommy DeVito,DeVito,,,,6000,NYG@ARI,NYG,ARI,,,,,,QB
,93784-103109:Max Duggan,93784-103109,QB,Max,Max Duggan,Duggan,,,,6000,LAC@TEN,LAC,TEN,,,,,,QB
,93784-29501:Brandin Cooks,93784-29501,WR,Brandin,Brandin Cooks,Cooks,,3.200000048,1,6000,NYJ@DAL,DAL,NYJ,Q,Knee - mcl,,,,WR/FLEX
,93784-90981:Adrian Martinez,93784-90981,QB,Adrian,Adrian Martinez,Martinez,,,,6000,SEA@DET,DET,SEA,,,,,,QB
,93784-56192:John Wolford,93784-56192,QB,John,John Wolford,Wolford,,8.899999619,2,6000,CHI@TB,TB,CHI,,,,,,QB
,93784-41872:Evan Engram,93784-41872,TE,Evan,Evan Engram,Engram,,7.400000095,1,6000,KC@JAC,JAC,KC,,,,,,TE/FLEX
,93784-29605:Matt Barkley,93784-29605,QB,Matt,Matt Barkley,Barkley,,,,6000,LV@BUF,BUF,LV,Q,Elbow,,,,QB
,93784-93103:E.J. Perry,93784-93103,QB,E.J.,E.J. Perry,Perry,,,,6000,IND@HOU,HOU,IND,,,,,,QB
,93784-52342:Will Grier,93784-52342,QB,Will,Will Grier,Grier,,,,6000,BAL@CIN,CIN,BAL,,,,,,QB
,93784-27801:Nate Sudfeld,93784-27801,QB,Nate,Nate Sudfeld,Sudfeld,,-0.200000003,2,6000,SEA@DET,DET,SEA,IR,Knee - acl,,,,QB
,93784-93382:Aidan O'Connell,93784-93382,QB,Aidan,Aidan O'Connell,O'Connell,,,,6000,LV@BUF,LV,BUF,,,,,,QB
,93784-130269:Reid Sinnett,93784-130269,QB,Reid,Reid Sinnett,Sinnett,,,,6000,BAL@CIN,CIN,BAL,,,,,,QB
,93784-54507:Alex McGough,93784-54507,QB,Alex,Alex McGough,McGough,,,,6000,GB@ATL,GB,ATL,,,,,,QB
,93784-11500:Colt McCoy,93784-11500,QB,Colt,Colt McCoy,McCoy,,8.949999809,4,6000,NYG@ARI,ARI,NYG,,,,,,QB
,93784-185629:Tim DeMorat,93784-185629,QB,Tim,Tim DeMorat,DeMorat,,,,6000,WAS@DEN,WAS,DEN,,,,,,QB
