QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
92765-69189:Justin Herbert,92765-103342:Kenneth Walker III,92765-89956:Travis Etienne Jr.,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-64555:Calvin Ridley,92765-57299:Gerald Everett,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-72776:Alexander Mattison,92765-72776,RB,Alexander,Alexander Mattison,Mattison,4.533333249,18,7300,TB@MIN,MIN,TB,,,,,,RB/FLEX
92765-26483:Geno Smith,92765-89956:Travis Etienne Jr.,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-71705:Noah Fant,92765-73048:DK Metcalf,92765-12555:Baltimore Ravens,,92765-22015:Russell Wilson,92765-22015,QB,Russell,Russell Wilson,Wilson,15.7506663,15,7300,LV@DEN,DEN,LV,,,,,,QB
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-64555:Calvin Ridley,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12552:Washington Commanders,,92765-87770:Chris Olave,92765-87770,WR,Chris,Chris Olave,Olave,10.81333313,15,7300,TEN@NO,NO,TEN,,,,,,WR/FLEX
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-90562:Brian Robinson Jr.,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-66008:Diontae Johnson,92765-26355:Logan Thomas,92765-85671:Justin Jefferson,92765-12550:Seattle Seahawks,,92765-71706:T.J. Hockenson,92765-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.57222239,18,7200,TB@MIN,MIN,TB,,,,,,TE/FLEX
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-66008:Diontae Johnson,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-90576:DeVonta Smith,92765-90576,WR,DeVonta,DeVonta Smith,Smith,12.01500015,20,7200,PHI@NE,PHI,NE,,,,,,WR/FLEX
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,92765-40442:Aaron Jones,92765-40442,RB,Aaron,Aaron Jones,Jones,12.88823565,17,7200,GB@CHI,GB,CHI,,,,,,RB/FLEX
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-52442:Joe Mixon,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-87770:Chris Olave,92765-71705:Noah Fant,92765-90562:Brian Robinson Jr.,92765-12550:Seattle Seahawks,,92765-26483:Geno Smith,92765-26483,QB,Geno,Geno Smith,Smith,18.48888821,18,7200,LAR@SEA,SEA,LAR,,,,,,QB
92765-89951:Trevor Lawrence,92765-52442:Joe Mixon,92765-90562:Brian Robinson Jr.,92765-27050:Tyler Lockett,92765-64555:Calvin Ridley,92765-66008:Diontae Johnson,92765-57299:Gerald Everett,92765-87770:Chris Olave,92765-12550:Seattle Seahawks,,92765-104576:Sam Howell,92765-104576,QB,Sam,Sam Howell,Howell,19.26000023,1,7100,ARI@WAS,WAS,ARI,,,,,,QB
92765-89951:Trevor Lawrence,92765-52442:Joe Mixon,92765-90562:Brian Robinson Jr.,92765-55635:Chris Godwin,92765-60858:Christian Kirk,92765-66008:Diontae Johnson,92765-26355:Logan Thomas,92765-87770:Chris Olave,92765-12552:Washington Commanders,,92765-39829:Mike Williams,92765-39829,WR,Mike,Mike Williams,Williams,11.15384615,13,7100,MIA@LAC,LAC,MIA,,,,,,WR/FLEX
92765-89951:Trevor Lawrence,92765-103342:Kenneth Walker III,92765-87787:J.K. Dobbins,92765-112745:Drake London,92765-27050:Tyler Lockett,92765-55635:Chris Godwin,92765-26355:Logan Thomas,92765-90562:Brian Robinson Jr.,92765-12555:Baltimore Ravens,,92765-103342:Kenneth Walker III,92765-103342,RB,Kenneth,Kenneth Walker III,Walker III,12.63125038,16,7100,LAR@SEA,SEA,LAR,,,,,,RB/FLEX
